season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,count,dia,date
spring,0,1,0,False,6,False,clear,9.84,14.395,0.81,0.0,16,1,2023-01-01
spring,0,1,1,False,6,False,clear,9.02,13.635,0.8,0.0,40,1,2023-01-01
spring,0,1,2,False,6,False,clear,9.02,13.635,0.8,0.0,32,1,2023-01-01
spring,0,1,3,False,6,False,clear,9.84,14.395,0.75,0.0,13,1,2023-01-01
spring,0,1,4,False,6,False,clear,9.84,14.395,0.75,0.0,1,1,2023-01-01
spring,0,1,5,False,6,False,misty,9.84,12.88,0.75,6.0032,1,1,2023-01-01
spring,0,1,6,False,6,False,clear,9.02,13.635,0.8,0.0,2,1,2023-01-01
spring,0,1,7,False,6,False,clear,8.200000000000001,12.88,0.86,0.0,3,1,2023-01-01
spring,0,1,8,False,6,False,clear,9.84,14.395,0.75,0.0,8,1,2023-01-01
spring,0,1,9,False,6,False,clear,13.12,17.424999999999997,0.76,0.0,14,1,2023-01-01
spring,0,1,10,False,6,False,clear,15.58,19.695,0.76,16.997899999999998,36,1,2023-01-01
spring,0,1,11,False,6,False,clear,14.76,16.665,0.81,19.0012,56,1,2023-01-01
spring,0,1,12,False,6,False,clear,17.22,21.21,0.77,19.0012,84,1,2023-01-01
spring,0,1,13,False,6,False,misty,18.86,22.725,0.72,19.9995,94,1,2023-01-01
spring,0,1,14,False,6,False,misty,18.86,22.725,0.72,19.0012,106,1,2023-01-01
spring,0,1,15,False,6,False,misty,18.04,21.97,0.77,19.9995,110,1,2023-01-01
spring,0,1,16,False,6,False,misty,17.22,21.21,0.82,19.9995,93,1,2023-01-01
spring,0,1,17,False,6,False,misty,18.04,21.97,0.82,19.0012,67,1,2023-01-01
spring,0,1,18,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,35,1,2023-01-01
spring,0,1,19,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,37,1,2023-01-01
spring,0,1,20,False,6,False,misty,16.400000000000002,20.455,0.87,16.997899999999998,36,1,2023-01-01
spring,0,1,21,False,6,False,misty,16.400000000000002,20.455,0.87,12.998,34,1,2023-01-01
spring,0,1,22,False,6,False,misty,16.400000000000002,20.455,0.94,15.0013,28,1,2023-01-01
spring,0,1,23,False,6,False,misty,18.86,22.725,0.88,19.9995,39,1,2023-01-01
spring,0,1,0,False,0,False,misty,18.86,22.725,0.88,19.9995,17,2,2023-01-02
spring,0,1,1,False,0,False,misty,18.04,21.97,0.94,16.997899999999998,17,2,2023-01-02
spring,0,1,2,False,0,False,misty,17.22,21.21,1.0,19.0012,9,2,2023-01-02
spring,0,1,3,False,0,False,misty,18.86,22.725,0.94,12.998,6,2,2023-01-02
spring,0,1,4,False,0,False,misty,18.86,22.725,0.94,12.998,3,2,2023-01-02
spring,0,1,6,False,0,False,rain,17.22,21.21,0.77,19.9995,2,2,2023-01-02
spring,0,1,7,False,0,False,misty,16.400000000000002,20.455,0.76,12.998,1,2,2023-01-02
spring,0,1,8,False,0,False,rain,16.400000000000002,20.455,0.71,15.0013,8,2,2023-01-02
spring,0,1,9,False,0,False,misty,15.58,19.695,0.76,15.0013,20,2,2023-01-02
spring,0,1,10,False,0,False,misty,14.76,17.424999999999997,0.81,15.0013,53,2,2023-01-02
spring,0,1,11,False,0,False,misty,14.76,16.665,0.71,16.997899999999998,70,2,2023-01-02
spring,0,1,12,False,0,False,misty,14.76,16.665,0.66,19.9995,93,2,2023-01-02
spring,0,1,13,False,0,False,misty,14.76,17.424999999999997,0.66,8.9981,75,2,2023-01-02
spring,0,1,14,False,0,False,rain,14.76,17.424999999999997,0.76,12.998,59,2,2023-01-02
spring,0,1,15,False,0,False,rain,13.94,16.665,0.81,11.0014,74,2,2023-01-02
spring,0,1,16,False,0,False,rain,13.94,16.665,0.71,11.0014,76,2,2023-01-02
spring,0,1,17,False,0,False,clear,13.94,16.665,0.57,12.998,65,2,2023-01-02
spring,0,1,18,False,0,False,misty,14.76,16.665,0.46,22.0028,53,2,2023-01-02
spring,0,1,19,False,0,False,clear,13.12,14.395,0.42,30.0026,30,2,2023-01-02
spring,0,1,20,False,0,False,clear,12.3,13.635,0.39,23.9994,22,2,2023-01-02
spring,0,1,21,False,0,False,clear,10.66,11.365,0.44,22.0028,31,2,2023-01-02
spring,0,1,22,False,0,False,clear,9.84,10.605,0.44,19.9995,9,2,2023-01-02
spring,0,1,23,False,0,False,clear,9.02,11.365,0.47,11.0014,8,2,2023-01-02
spring,0,1,0,False,1,True,clear,9.02,9.85,0.44,23.9994,5,3,2023-01-03
spring,0,1,1,False,1,True,clear,8.200000000000001,8.334999999999999,0.44,27.9993,2,3,2023-01-03
spring,0,1,4,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,1,3,2023-01-03
spring,0,1,5,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,3,3,2023-01-03
spring,0,1,6,False,1,True,clear,5.74,5.305,0.5,26.0027,30,3,2023-01-03
spring,0,1,7,False,1,True,clear,5.74,6.819999999999999,0.5,12.998,64,3,2023-01-03
