Duration,Checking account,Credit amount,Purpose,Job ,Job,Sex ,Sex,Checking account ,Purpose ,csv,data_source,Saving accounts,Housing,Risk,Age,value,Unnamed: 0
24,little,3632,car,2,2,female,female,little,car,,kaggle,little,rent,good,22,391779,613
24,NA,2603,car,2,2,female,female,NA,car,,kaggle,rich,rent,good,28,391779,733
12,little,902,education,2,2,male,male,little,education,,kaggle,little,rent,bad,21,391779,203
9,little,654,car,1,1,male,male,little,car,,kaggle,little,own,bad,28,391779,472
21,little,3414,education,2,2,male,male,little,education,,kaggle,little,own,bad,26,391779,174
15,NA,3186,car,2,2,female,female,NA,car,,kaggle,rich,rent,good,20,391779,420
12,NA,1262,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,25,391779,52
21,little,1835,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,own,bad,25,391779,120
15,NA,1520,furniture/equipment,2,2,male,male,NA,furniture/equipment,,kaggle,NA,own,good,63,391779,283
18,moderate,6204,repairs,1,1,male,male,moderate,repairs,,kaggle,little,own,good,44,391779,42
18,moderate,2899,car,2,2,male,male,moderate,car,,kaggle,NA,own,good,43,391779,404
24,NA,8648,business,2,2,male,male,NA,business,,kaggle,little,own,bad,27,391779,402
15,NA,3029,car,2,2,male,male,NA,car,,kaggle,little,own,good,33,391779,749
30,little,8072,business,2,2,male,male,little,business,,kaggle,NA,own,good,25,391779,17
28,NA,7824,car,2,2,male,male,NA,car,,kaggle,NA,rent,good,40,391779,889
24,NA,4042,car,2,2,male,male,NA,car,,kaggle,NA,own,good,43,391779,851
72,moderate,5595,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,moderate,own,bad,24,391779,677
9,NA,2697,radio/TV,2,2,male,male,NA,radio/TV,,kaggle,little,own,good,32,391779,275
9,NA,1236,domestic appliances,2,2,female,female,NA,domestic appliances,,kaggle,little,rent,good,23,391779,350
18,moderate,1239,education,2,2,male,male,moderate,education,,kaggle,NA,free,good,61,391779,360
18,moderate,1239,education,2,2,male,male,moderate,education,,kaggle,NA,free,good,61,391779,360
12,moderate,6468,radio/TV,3,3,male,male,moderate,radio/TV,,kaggle,NA,own,bad,52,391779,56
24,moderate,4712,business,3,3,male,male,moderate,business,,kaggle,NA,own,good,37,391779,564
24,moderate,4113,car,2,2,female,female,moderate,car,,kaggle,quite rich,rent,bad,28,391779,952
21,moderate,1188,business,2,2,female,female,moderate,business,,kaggle,little,own,bad,39,391779,790
12,little,3386,car,2,2,male,male,little,car,,kaggle,little,free,bad,35,391779,457
36,NA,3079,car,2,2,male,male,NA,car,,kaggle,NA,own,good,36,391779,370
12,moderate,1103,radio/TV,2,2,male,male,moderate,radio/TV,,kaggle,little,own,good,29,391779,696
10,rich,1225,domestic appliances,2,2,male,male,rich,domestic appliances,,kaggle,little,own,good,37,391779,38
24,NA,1474,car,2,2,male,male,NA,car,,kaggle,moderate,own,good,33,391779,855
12,NA,3059,radio/TV,1,1,male,male,NA,radio/TV,,kaggle,rich,own,good,61,391779,8
24,little,1282,radio/TV,1,1,female,female,little,radio/TV,,kaggle,moderate,own,bad,32,391779,15
48,little,4788,car,2,2,male,male,little,car,,kaggle,little,own,good,26,391779,286
,,,,,,,,,,,kaggle,,,,,391779,
9,NA,1388,furniture/equipment,2,2,female,female,NA,furniture/equipment,,kaggle,little,rent,good,26,391779,582
18,little,1882,radio/TV,2,2,female,female,little,radio/TV,,kaggle,little,rent,bad,25,391779,727
21,NA,1591,furniture/equipment,3,3,male,male,NA,furniture/equipment,,kaggle,moderate,own,good,34,391779,423
12,rich,2251,furniture/equipment,1,1,female,female,rich,furniture/equipment,,kaggle,little,own,good,46,391779,251
30,NA,7596,car,2,2,male,male,NA,car,,kaggle,NA,own,good,63,391779,715
18,little,2039,furniture/equipment,2,2,female,female,little,furniture/equipment,,kaggle,little,rent,bad,20,391779,585
